Location,Indicator,Indicator units,Age,Year,Mean estimate,Sex,Scenario type
Mexico,"Mortality rate, under-5","per 1,000 live births",0-5 years,2007,21.1925957005471,All sexes,Reference
Mexico,"Mortality rate, under-5","per 1,000 live births",0-5 years,2008,20.4721788270586,All sexes,Reference
Mexico,"Mortality rate, under-5","per 1,000 live births",0-5 years,2009,19.786271667702,All sexes,Reference
Mexico,"Mortality rate, under-5","per 1,000 live births",0-5 years,2010,19.1286287054848,All sexes,Reference
Mexico,"Mortality rate, under-5","per 1,000 live births",0-5 years,2011,18.4967703051141,All sexes,Reference
Mexico,"Mortality rate, under-5","per 1,000 live births",0-5 years,2012,17.8813430881758,All sexes,Reference
Mexico,"Mortality rate, under-5","per 1,000 live births",0-5 years,2013,17.3009817900633,All sexes,Reference
Mexico,"Mortality rate, under-5","per 1,000 live births",0-5 years,2014,16.738194122231,All sexes,Reference
Mexico,"Mortality rate, under-5","per 1,000 live births",0-5 years,2015,16.200368478757,All sexes,Reference
Mexico,"Mortality rate, under-5","per 1,000 live births",0-5 years,2016,15.6701557422653,All sexes,Reference
Mexico,"Mortality rate, under-5","per 1,000 live births",0-5 years,2017,15.1648132804832,All sexes,Reference
Mexico,"Mortality rate, under-5","per 1,000 live births",0-5 years,2018,14.6601327092343,All sexes,Reference
Mexico,"Mortality rate, under-5","per 1,000 live births",0-5 years,2019,14.169939966992,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1990,22.1684508096581,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1991,21.4284042416298,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1992,20.669962811918,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1993,19.9118675309363,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1994,19.1508949676021,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1995,18.3736162102181,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1996,17.5688177572508,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1997,16.7617130372909,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1998,15.9616223638019,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,1999,15.1496156175389,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2000,14.2023399141419,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2001,13.2001331226091,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2002,12.2142016082645,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2003,11.2889869458298,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2004,10.4582814482409,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2005,9.80081246254156,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2006,9.38960896613345,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2007,9.21900220372236,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2008,9.16090272873977,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2009,9.10343462330964,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2010,8.99529777582756,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2011,8.83435337587455,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2012,8.63253640921141,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2013,8.44624879634569,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2014,8.32314387577852,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2015,8.30038075671677,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2016,8.386723206102,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2017,8.54997202800532,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2018,8.65278951173079,All sexes,Reference
Mexico,"Mortality rate, neonatal","per 1,000 live births",0-28 days,2019,8.5689244158142,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,1990,53,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,1991,88,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,1992,90,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,1993,82,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,1994,91,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,1995,91,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,1996,95,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,1997,95,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,1998,96,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,1999,96,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2000,97,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2001,97,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2002,97,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2003,98,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2004,98,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2005,98,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2006,98,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2007,98,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2008,96,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2009,95,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2010,95,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2011,97,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2012,99,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2013,83,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2014,87,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2015,87,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2016,93,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2017,85,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2018,88,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2019,82,All sexes,Reference
Mexico,"Immunization, DPT",% of children,12-23 months,2020,74,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2000,97,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2001,97,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2002,97,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2003,98,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2004,98,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2005,98,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2006,98,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2007,98,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2008,97,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2009,95,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2010,93,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2011,98,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2012,99,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2013,82,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2014,84,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2015,82,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2016,93,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2017,58,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2018,55,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2019,56,All sexes,Reference
Mexico,"Immunization, HepB3",% of one-year-old children,12-23 months,2020,79,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2000,77.098259,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2001,77.954361,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2002,78.799721,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2003,79.63456,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2004,80.459358,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2005,81.273781,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2006,82.078308,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2007,82.872932,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2008,83.658302,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2009,84.434189,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2010,85.201027,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2011,85.959709,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2012,86.709801,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2013,87.451782,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2014,88.18573,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2015,88.911484,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2016,89.629448,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2017,90.339478,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2018,91.041847,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2019,91.736664,All sexes,Reference
Mexico,People using at least basic sanitation services,% of population,all,2020,92.424065,All sexes,Reference
Mexico,"Contraceptive prevalence, modern methods",% of women,15-49,2003,82.1,All sexes,Reference
Mexico,"Contraceptive prevalence, modern methods",% of women,15-49,2006,80.2,All sexes,Reference
Mexico,"Contraceptive prevalence, modern methods",% of women,15-49,2009,81.9,All sexes,Reference
Mexico,"Contraceptive prevalence, modern methods",% of women,15-49,2014,81.7,All sexes,Reference
Mexico,"Contraceptive prevalence, modern methods",% of women,15-49,2015,79.8,All sexes,Reference
"Micronesia, Fed. Sts.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2000,154,All sexes,Reference
"Micronesia, Fed. Sts.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2001,150,All sexes,Reference
"Micronesia, Fed. Sts.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2002,163,All sexes,Reference
"Micronesia, Fed. Sts.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2003,141,All sexes,Reference
"Micronesia, Fed. Sts.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2004,137,All sexes,Reference
"Micronesia, Fed. Sts.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2005,133,All sexes,Reference
"Micronesia, Fed. Sts.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2006,128,All sexes,Reference
"Micronesia, Fed. Sts.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2007,123,All sexes,Reference
"Micronesia, Fed. Sts.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2008,118,All sexes,Reference
"Micronesia, Fed. Sts.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2009,114,All sexes,Reference
"Micronesia, Fed. Sts.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2010,110,All sexes,Reference
"Micronesia, Fed. Sts.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2011,106,All sexes,Reference
"Micronesia, Fed. Sts.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2012,103,All sexes,Reference
"Micronesia, Fed. Sts.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2013,99,All sexes,Reference
"Micronesia, Fed. Sts.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2014,96,All sexes,Reference
"Micronesia, Fed. Sts.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2015,95,All sexes,Reference
"Micronesia, Fed. Sts.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2016,90,All sexes,Reference
"Micronesia, Fed. Sts.","Maternal mortality ratio, modeled estimate","per 100,000 live births",15-49,2017,88,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,1990,54.7759956651978,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,1991,54.3423648523668,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,1992,54.1083746236552,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,1993,54.1011209238806,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,1994,54.3134426168998,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,1995,54.5466566483564,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,1996,54.6357699973397,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,1997,54.6532372050577,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,1998,54.2546793309232,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,1999,53.5484320004551,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2000,52.6172348402668,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2001,51.461128668346,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2002,50.3982988556556,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2003,49.0891912810446,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2004,47.6282442034896,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2005,46.20474792041,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2006,44.7745559117567,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2007,43.3848809176315,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2008,41.9662549601487,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2009,40.7047325153832,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2010,39.3728603019546,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2011,38.1361370547024,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2012,37.0068090089205,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2013,35.9268758995052,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2014,34.7584401795883,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2015,33.6620503488843,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2016,32.5036713008959,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2017,31.534121467266,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2018,30.5150569045507,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, under-5","per 1,000 live births",0-5 years,2019,29.3852419973987,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,1990,85,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,1991,79,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,1992,91,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,1993,78,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,1994,81,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,1995,83,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,1996,79,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,1997,75,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,1998,80,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,1999,76,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2000,85,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2001,75,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2002,84,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2003,92,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2004,78,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2005,94,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2006,67,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2007,79,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2008,85,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2009,91,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2010,85,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2011,84,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2012,81,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2013,81,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2014,77,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2015,72,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2016,69,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2017,73,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2018,75,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2019,78,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, DPT",% of children,12-23 months,2020,83,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1990,24.6772427508936,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1991,24.5493401514229,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1992,24.509379468826,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1993,24.5145733912204,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1994,24.5056928196806,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1995,24.5738464094348,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1996,24.6307214349789,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1997,24.6216525926074,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1998,24.5003400715926,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,1999,24.2473301824532,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2000,23.976073556685,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2001,23.5603209600337,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2002,23.1136412245498,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2003,22.7006719247727,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2004,22.2769044792909,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2005,21.8628583114411,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2006,21.427609761993,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2007,20.8892991193808,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2008,20.3971484867558,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2009,19.9125811391963,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2010,19.4829020987618,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2011,19.0273546588548,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2012,18.5376810877335,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2013,18.0972802339793,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2014,17.6473800818597,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2015,17.2987637556478,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2016,16.9537363919729,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2017,16.5285898882207,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2018,16.1966282597409,All sexes,Reference
"Micronesia, Fed. Sts.","Mortality rate, neonatal","per 1,000 live births",0-28 days,2019,15.8624960984998,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,1990,56,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,1991,65,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,1992,73,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,1993,82,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,1994,82,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,1995,82,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,1996,80,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,1997,78,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,1998,79,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,1999,77,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2000,87,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2001,81,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2002,85,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2003,89,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2004,80,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2005,91,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2006,84,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2007,90,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2008,89,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2009,89,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2010,88,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2011,83,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2012,82,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2013,83,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2014,81,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2015,78,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2016,76,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2017,80,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2018,83,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2019,84,All sexes,Reference
"Micronesia, Fed. Sts.","Immunization, HepB3",% of one-year-old children,12-23 months,2020,88,All sexes,Reference
"Micronesia, Fed. Sts.",People using at least basic sanitation services,% of population,all,2000,24.50403,All sexes,Reference
"Micronesia, Fed. Sts.",People using at least basic sanitation services,% of population,all,2001,28.757717,All sexes,Reference
"Micronesia, Fed. Sts.",People using at least basic sanitation services,% of population,all,2002,33.011406,All sexes,Reference
"Micronesia, Fed. Sts.",People using at least basic sanitation services,% of population,all,2003,37.265091,All sexes,Reference
"Micronesia, Fed. Sts.",People using at least basic sanitation services,% of population,all,2004,41.51878,All sexes,Reference
"Micronesia, Fed. Sts.",People using at least basic sanitation services,% of population,all,2005,45.772465,All sexes,Reference
"Micronesia, Fed. Sts.",People using at least basic sanitation services,% of population,all,2006,50.02615,All sexes,Reference
"Micronesia, Fed. Sts.",People using at least basic sanitation services,% of population,all,2007,54.279839,All sexes,Reference
